_id,TIPO_INCIDENCIA,FECHA_REPORTE,ESTADO,USUARIOID,MANTENIMEINTOID
INC-10068,DESGASTE,2023-12-14T00:00:00Z,CERRADA,['940-04-3686'],['MNT-06807']
INC-10069,ROTURA,2023-10-20T00:00:00Z,ABIERTA,['743-49-2091'],['MNT-05824']
INC-1007,DESGASTE,2023-11-12T00:00:00Z,CERRADA,"['723-60-1818', '253-15-7309', '166-44-4206']",['MNT-12489']
INC-10070,DESGASTE,2024-05-18T00:00:00Z,CERRADA,['223-48-9940'],"['MNT-07167', 'MNT-09801']"
INC-10071,DESGASTE,2024-06-09T00:00:00Z,ABIERTA,['435-77-2662'],['MNT-12151']
INC-10072,DESGASTE,2024-01-09T00:00:00Z,CERRADA,['185-08-2094'],['MNT-03579']
INC-10073,MAL FUNCIONAMIENTO,2024-01-29T00:00:00Z,CERRADA,['480-01-1122'],['MNT-11130']
INC-10074,DESGASTE,2024-06-08T00:00:00Z,CERRADA,['604-28-0910'],['MNT-06529']
INC-10075,ROTURA,2023-12-28T00:00:00Z,ABIERTA,['189-31-2541'],['MNT-06791']
INC-10076,DESGASTE,2024-08-12T00:00:00Z,CERRADA,['540-41-4494'],['MNT-09173']
INC-10077,ROTURA,2024-04-02T00:00:00Z,CERRADA,['388-11-6064'],['MNT-12406']
INC-10078,ROTURA,2024-06-08T00:00:00Z,ABIERTA,['725-17-2804'],['MNT-13179']
INC-10079,MAL FUNCIONAMIENTO,2023-11-03T00:00:00Z,CERRADA,['765-78-8768'],['MNT-11534']
INC-1008,VANDALISMO,2024-04-23T00:00:00Z,CERRADA,"['323-67-0377', '616-82-9833']",['MNT-02720']
INC-10080,MAL FUNCIONAMIENTO,2024-04-02T00:00:00Z,CERRADA,['139-33-0907'],['MNT-07283']
INC-10081,DESGASTE,2023-12-10T00:00:00Z,ABIERTA,['431-21-8281'],"['MNT-01279', 'MNT-07401', 'MNT-14037']"
INC-10082,DESGASTE,2024-08-25T00:00:00Z,ABIERTA,['229-57-1813'],['MNT-04806']
INC-10083,VANDALISMO,2024-07-13T00:00:00Z,CERRADA,['663-36-3405'],['MNT-09227']
INC-10084,MAL FUNCIONAMIENTO,2024-06-20T00:00:00Z,ABIERTA,['925-36-8282'],['MNT-11490']
INC-10085,ROTURA,2024-08-07T00:00:00Z,CERRADA,['172-51-8192'],"['MNT-02528', 'MNT-04445']"
INC-10086,MAL FUNCIONAMIENTO,2023-11-22T00:00:00Z,ABIERTA,['404-71-3198'],['MNT-01320']
INC-10087,VANDALISMO,2024-11-04T00:00:00Z,CERRADA,['741-05-0640'],['MNT-06929']
INC-10088,MAL FUNCIONAMIENTO,2023-12-26T00:00:00Z,CERRADA,['198-94-4692'],['MNT-14896']
INC-10089,MAL FUNCIONAMIENTO,2023-12-11T00:00:00Z,CERRADA,['360-76-9784'],['MNT-08115']
INC-1009,MAL FUNCIONAMIENTO,2024-03-23T00:00:00Z,CERRADA,"['676-69-6786', '375-38-6947']",['MNT-12093']
INC-10090,MAL FUNCIONAMIENTO,2024-04-19T00:00:00Z,ABIERTA,['595-93-3805'],['MNT-14007']
INC-10091,MAL FUNCIONAMIENTO,2024-02-08T00:00:00Z,ABIERTA,['562-45-0217'],['MNT-02832']
INC-10092,ROTURA,2024-11-08T00:00:00Z,CERRADA,['601-46-5956'],['MNT-01252']
INC-10093,VANDALISMO,2024-03-28T00:00:00Z,CERRADA,['852-13-4141'],"['MNT-02428', 'MNT-03198', 'MNT-08070']"
INC-10094,VANDALISMO,2024-05-19T00:00:00Z,ABIERTA,['879-17-5101'],"['MNT-04671', 'MNT-08863']"
INC-10095,VANDALISMO,2024-01-27T00:00:00Z,CERRADA,['634-10-3384'],['MNT-13655']
INC-10096,ROTURA,2024-09-09T00:00:00Z,CERRADA,['368-79-6511'],['MNT-07312']
INC-10097,ROTURA,2024-01-26T00:00:00Z,CERRADA,['962-36-6621'],['MNT-02306']
INC-10098,ROTURA,2024-01-06T00:00:00Z,CERRADA,['735-78-7517'],['MNT-03792']
INC-10099,DESGASTE,2024-08-28T00:00:00Z,ABIERTA,['447-47-3396'],['MNT-01210']
INC-101,MAL FUNCIONAMIENTO,2024-10-03T00:00:00Z,CERRADA,"['336-56-1396', '806-70-9754', '180-58-7713']",['MNT-01560']
INC-1010,MAL FUNCIONAMIENTO,2023-10-25T00:00:00Z,CERRADA,['769-79-9632'],['MNT-01804']
INC-10100,ROTURA,2023-10-17T00:00:00Z,ABIERTA,['845-98-3064'],['MNT-14175']
INC-10101,DESGASTE,2024-10-02T00:00:00Z,ABIERTA,['238-55-0294'],['MNT-06623']
INC-10102,MAL FUNCIONAMIENTO,2024-01-23T00:00:00Z,ABIERTA,['657-09-9571'],['MNT-08219']
INC-10103,ROTURA,2024-07-13T00:00:00Z,ABIERTA,['571-19-8866'],"['MNT-11769', 'MNT-13435']"
INC-10104,VANDALISMO,2024-01-08T00:00:00Z,ABIERTA,['085-71-2849'],"['MNT-01348', 'MNT-04293', 'MNT-11069']"
INC-10105,VANDALISMO,2024-07-04T00:00:00Z,CERRADA,['111-50-9574'],['MNT-04298']
INC-10106,ROTURA,2023-11-17T00:00:00Z,CERRADA,['586-40-2613'],"['MNT-05186', 'MNT-06311']"
INC-10107,DESGASTE,2024-08-03T00:00:00Z,CERRADA,['120-73-9615'],['MNT-02622']
INC-10108,ROTURA,2024-04-14T00:00:00Z,ABIERTA,['353-13-8132'],"['MNT-07469', 'MNT-08804', 'MNT-12571']"
INC-10109,MAL FUNCIONAMIENTO,2024-02-12T00:00:00Z,CERRADA,['304-23-1400'],['MNT-09391']
INC-1011,ROTURA,2024-08-04T00:00:00Z,ABIERTA,"['906-18-2991', '228-83-3117']",['MNT-05335']
INC-10110,VANDALISMO,2024-01-10T00:00:00Z,CERRADA,['628-22-3928'],['MNT-06188']
INC-10111,VANDALISMO,2024-08-17T00:00:00Z,CERRADA,['889-83-3596'],['MNT-04531']
INC-10112,ROTURA,2024-05-09T00:00:00Z,CERRADA,['765-22-9582'],['MNT-11878']
INC-10113,ROTURA,2024-02-19T00:00:00Z,ABIERTA,['868-50-9266'],['MNT-06807']
INC-10114,DESGASTE,2024-08-30T00:00:00Z,CERRADA,['029-08-4283'],['MNT-08500']
INC-10115,DESGASTE,2024-04-29T00:00:00Z,ABIERTA,['122-63-4873'],['MNT-06633']
INC-10116,DESGASTE,2024-09-22T00:00:00Z,ABIERTA,['692-23-2082'],['MNT-04283']
INC-10117,DESGASTE,2024-07-20T00:00:00Z,ABIERTA,['089-22-6626'],"['MNT-06034', 'MNT-08277']"
INC-10118,ROTURA,2023-12-18T00:00:00Z,CERRADA,['950-32-9364'],['MNT-09419']
INC-10119,MAL FUNCIONAMIENTO,2024-01-17T00:00:00Z,ABIERTA,['201-47-3889'],['MNT-05522']
INC-1012,DESGASTE,2024-09-02T00:00:00Z,ABIERTA,"['344-89-4443', '725-17-2804', '987-87-4472']",['MNT-00190']
INC-10120,MAL FUNCIONAMIENTO,2024-01-28T00:00:00Z,CERRADA,['804-19-8281'],['MNT-07156']
INC-10121,VANDALISMO,2024-03-06T00:00:00Z,ABIERTA,['248-70-0142'],['MNT-07607']
INC-10122,VANDALISMO,2024-03-16T00:00:00Z,ABIERTA,['672-33-4503'],['MNT-09760']
INC-10123,VANDALISMO,2024-08-09T00:00:00Z,CERRADA,['878-05-1162'],['MNT-03646']
INC-10124,VANDALISMO,2024-03-15T00:00:00Z,ABIERTA,['661-99-4895'],['MNT-11645']
INC-10125,VANDALISMO,2024-11-05T00:00:00Z,ABIERTA,['868-99-0315'],['MNT-00286']
INC-10126,MAL FUNCIONAMIENTO,2024-05-01T00:00:00Z,ABIERTA,['187-33-3726'],"['MNT-01411', 'MNT-04041']"
INC-10127,DESGASTE,2024-03-15T00:00:00Z,ABIERTA,['274-25-9874'],['MNT-14909']
INC-10128,DESGASTE,2024-01-08T00:00:00Z,ABIERTA,['549-58-1679'],['MNT-06435']
INC-10129,ROTURA,2024-08-09T00:00:00Z,ABIERTA,['279-14-0262'],['MNT-01158']
INC-1013,VANDALISMO,2024-06-22T00:00:00Z,CERRADA,"['110-80-9672', '278-32-8754']",['MNT-04222']
INC-10130,DESGASTE,2024-06-17T00:00:00Z,ABIERTA,['241-43-0331'],['MNT-06196']
INC-10131,VANDALISMO,2023-11-15T00:00:00Z,ABIERTA,['424-86-4616'],['MNT-10918']
INC-10132,MAL FUNCIONAMIENTO,2023-11-24T00:00:00Z,CERRADA,['232-71-8083'],['MNT-12926']
INC-10133,ROTURA,2024-01-27T00:00:00Z,CERRADA,['925-93-2493'],"['MNT-04854', 'MNT-09858']"
INC-10134,ROTURA,2024-09-28T00:00:00Z,ABIERTA,['813-32-8261'],['MNT-06013']
INC-10135,DESGASTE,2024-06-05T00:00:00Z,CERRADA,['243-26-3469'],['MNT-10224']
INC-10136,VANDALISMO,2024-11-04T00:00:00Z,ABIERTA,['393-79-4247'],['MNT-08697']
INC-10137,MAL FUNCIONAMIENTO,2024-07-22T00:00:00Z,ABIERTA,['225-01-7848'],['MNT-07863']
INC-10138,ROTURA,2024-06-26T00:00:00Z,ABIERTA,['556-98-7104'],"['MNT-06351', 'MNT-06931']"
INC-10139,DESGASTE,2024-11-02T00:00:00Z,CERRADA,['272-11-7623'],['MNT-13797']
INC-1014,ROTURA,2023-12-22T00:00:00Z,CERRADA,['363-19-7520'],['MNT-00258']
INC-10140,ROTURA,2024-07-28T00:00:00Z,ABIERTA,['292-24-7528'],['MNT-09887']
INC-10141,ROTURA,2024-09-09T00:00:00Z,CERRADA,['498-06-6682'],['MNT-12821']
INC-10142,MAL FUNCIONAMIENTO,2024-04-20T00:00:00Z,CERRADA,['476-89-2599'],['MNT-08130']
INC-10143,MAL FUNCIONAMIENTO,2024-01-29T00:00:00Z,ABIERTA,['743-57-7351'],['MNT-01358']
INC-10144,ROTURA,2023-10-31T00:00:00Z,ABIERTA,['092-36-4539'],['MNT-03600']
INC-10145,MAL FUNCIONAMIENTO,2024-02-03T00:00:00Z,ABIERTA,['575-56-0453'],"['MNT-03789', 'MNT-05250', 'MNT-10166']"
INC-10146,ROTURA,2023-12-09T00:00:00Z,CERRADA,['747-11-2952'],['MNT-04710']
INC-10147,ROTURA,2023-12-19T00:00:00Z,ABIERTA,['783-43-1670'],['MNT-03054']
INC-10148,MAL FUNCIONAMIENTO,2024-07-03T00:00:00Z,ABIERTA,['446-66-2086'],['MNT-13203']
INC-10149,MAL FUNCIONAMIENTO,2024-07-02T00:00:00Z,CERRADA,['639-00-6641'],['MNT-03118']
INC-1015,DESGASTE,2023-10-30T00:00:00Z,ABIERTA,"['284-09-0343', '426-08-1843', '663-01-1509']",['MNT-11195']
INC-10150,MAL FUNCIONAMIENTO,2024-02-14T00:00:00Z,CERRADA,['102-29-3683'],['MNT-08992']
INC-10151,DESGASTE,2024-09-19T00:00:00Z,ABIERTA,['691-24-9176'],['MNT-07527']
INC-10152,MAL FUNCIONAMIENTO,2024-07-25T00:00:00Z,ABIERTA,['496-76-7448'],"['MNT-06907', 'MNT-14045']"
INC-10153,MAL FUNCIONAMIENTO,2024-01-17T00:00:00Z,CERRADA,['647-48-3075'],"['MNT-01356', 'MNT-03154']"
INC-10154,VANDALISMO,2024-10-06T00:00:00Z,ABIERTA,['396-82-4014'],['MNT-14254']
INC-10155,DESGASTE,2024-09-28T00:00:00Z,ABIERTA,['924-55-2893'],['MNT-07733']
INC-10156,ROTURA,2024-01-27T00:00:00Z,CERRADA,['602-87-2036'],['MNT-04829']
INC-10157,VANDALISMO,2024-06-27T00:00:00Z,ABIERTA,['649-81-6390'],"['MNT-09195', 'MNT-13706']"
INC-10158,VANDALISMO,2024-06-23T00:00:00Z,ABIERTA,['374-76-8245'],['MNT-06988']
INC-10159,DESGASTE,2024-04-30T00:00:00Z,CERRADA,['806-11-5266'],['MNT-01195']
INC-1016,ROTURA,2024-06-09T00:00:00Z,ABIERTA,['281-88-1844'],['MNT-05482']
INC-10160,MAL FUNCIONAMIENTO,2024-09-22T00:00:00Z,ABIERTA,['056-89-8003'],['MNT-10630']
INC-10161,MAL FUNCIONAMIENTO,2024-08-07T00:00:00Z,CERRADA,['712-88-0653'],['MNT-04165']
INC-10162,ROTURA,2024-08-15T00:00:00Z,CERRADA,['947-55-5186'],['MNT-08751']
INC-10163,ROTURA,2023-10-19T00:00:00Z,CERRADA,['349-68-6684'],"['MNT-05092', 'MNT-11042']"
INC-10164,VANDALISMO,2024-03-22T00:00:00Z,ABIERTA,['371-76-2937'],['MNT-04080']
INC-10165,VANDALISMO,2024-01-18T00:00:00Z,CERRADA,['468-40-4655'],['MNT-00408']
INC-10166,ROTURA,2023-12-11T00:00:00Z,CERRADA,['774-74-7961'],"['MNT-01497', 'MNT-06346']"
INC-10167,MAL FUNCIONAMIENTO,2023-12-24T00:00:00Z,ABIERTA,['697-80-5768'],"['MNT-02011', 'MNT-14469']"
INC-10168,ROTURA,2024-09-20T00:00:00Z,ABIERTA,['558-69-1853'],['MNT-05304']
INC-10169,ROTURA,2024-05-24T00:00:00Z,ABIERTA,['055-18-5579'],"['MNT-00200', 'MNT-07488']"
INC-1017,MAL FUNCIONAMIENTO,2024-03-03T00:00:00Z,ABIERTA,"['470-85-5620', '086-70-3542']",['MNT-04411']
INC-10170,DESGASTE,2024-02-14T00:00:00Z,ABIERTA,['464-91-6592'],['MNT-12789']
INC-10171,ROTURA,2023-12-23T00:00:00Z,CERRADA,['574-88-6818'],['MNT-06537']
INC-10172,ROTURA,2023-11-15T00:00:00Z,ABIERTA,['976-08-7100'],['MNT-07273']
INC-10173,VANDALISMO,2023-12-12T00:00:00Z,ABIERTA,['095-65-3627'],['MNT-12802']
INC-10174,ROTURA,2024-02-24T00:00:00Z,CERRADA,['913-87-1666'],['MNT-07945']
INC-10175,MAL FUNCIONAMIENTO,2024-05-21T00:00:00Z,CERRADA,['594-83-0691'],"['MNT-02168', 'MNT-04267', 'MNT-05472']"
INC-10176,VANDALISMO,2023-11-13T00:00:00Z,ABIERTA,['678-95-0815'],['MNT-10813']
INC-10177,VANDALISMO,2024-09-15T00:00:00Z,ABIERTA,['746-36-6547'],['MNT-01730']
INC-10178,DESGASTE,2023-05-11T00:00:00Z,CERRADA,['077-43-2612'],['MNT-09938']
INC-10179,VANDALISMO,2024-05-16T00:00:00Z,CERRADA,['756-96-2795'],['MNT-06337']
INC-1018,DESGASTE,2024-08-17T00:00:00Z,ABIERTA,"['777-56-1919', '250-96-9029', '000-68-7775']","['MNT-01535', 'MNT-05411', 'MNT-05657', 'MNT-06345']"
INC-10180,VANDALISMO,2023-12-30T00:00:00Z,CERRADA,['388-11-6064'],"['MNT-05798', 'MNT-06142']"
INC-10181,MAL FUNCIONAMIENTO,2024-01-31T00:00:00Z,CERRADA,['248-75-5304'],['MNT-09377']
INC-10182,MAL FUNCIONAMIENTO,2024-08-02T00:00:00Z,ABIERTA,['937-20-7275'],['MNT-06954']
INC-10183,MAL FUNCIONAMIENTO,2023-11-19T00:00:00Z,ABIERTA,['119-41-8443'],['MNT-00894']
INC-10184,MAL FUNCIONAMIENTO,2024-05-03T00:00:00Z,ABIERTA,['393-11-7928'],['MNT-14431']
INC-10185,DESGASTE,2024-04-15T00:00:00Z,CERRADA,['851-33-4183'],['MNT-03927']
INC-10186,ROTURA,2024-02-10T00:00:00Z,CERRADA,['877-90-4364'],['MNT-06481']
INC-10187,VANDALISMO,2023-10-28T00:00:00Z,CERRADA,['743-13-6341'],['MNT-07053']
INC-10188,DESGASTE,2024-02-15T00:00:00Z,CERRADA,['487-44-3856'],['MNT-04490']
INC-10189,MAL FUNCIONAMIENTO,2024-06-20T00:00:00Z,CERRADA,['756-68-8317'],['MNT-06003']
INC-1019,VANDALISMO,2024-12-02T00:00:00Z,ABIERTA,"['043-60-3958', '775-73-8005']",['MNT-07913']
INC-10190,VANDALISMO,2024-02-03T00:00:00Z,CERRADA,['722-47-3928'],['MNT-03935']
INC-10191,ROTURA,2024-01-24T00:00:00Z,CERRADA,['492-08-1065'],['MNT-14657']
INC-10192,ROTURA,2024-01-20T00:00:00Z,ABIERTA,['897-69-9950'],['MNT-14017']
INC-10193,ROTURA,2024-09-04T00:00:00Z,CERRADA,['778-92-3598'],['MNT-00101']
INC-10194,VANDALISMO,2024-07-18T00:00:00Z,ABIERTA,['664-80-5149'],['MNT-06087']
INC-10195,VANDALISMO,2024-02-20T00:00:00Z,ABIERTA,['680-17-6803'],"['MNT-07457', 'MNT-07483']"
INC-10196,VANDALISMO,2024-08-17T00:00:00Z,ABIERTA,['297-74-7406'],"['MNT-13194', 'MNT-13689']"
INC-10197,ROTURA,2024-02-18T00:00:00Z,ABIERTA,['259-40-4059'],['MNT-00546']
INC-10198,MAL FUNCIONAMIENTO,2024-08-16T00:00:00Z,ABIERTA,['656-83-3050'],"['MNT-11769', 'MNT-13435']"
INC-10199,ROTURA,2024-09-20T00:00:00Z,CERRADA,['946-81-0714'],['MNT-10381']
INC-102,DESGASTE,2024-08-22T00:00:00Z,ABIERTA,"['110-54-2966', '743-88-8084']",['MNT-09012']
INC-1020,DESGASTE,2024-03-03T00:00:00Z,CERRADA,"['252-93-6357', '713-85-0367', '634-96-2225']","['MNT-05674', 'MNT-11740']"
INC-10200,ROTURA,2024-07-08T00:00:00Z,CERRADA,['227-74-7033'],"['MNT-02811', 'MNT-11128']"
INC-10201,ROTURA,2024-03-22T00:00:00Z,CERRADA,['170-17-3945'],"['MNT-07899', 'MNT-09198']"
INC-10202,MAL FUNCIONAMIENTO,2024-07-23T00:00:00Z,ABIERTA,['586-26-9246'],['MNT-01500']
INC-10203,DESGASTE,2023-11-04T00:00:00Z,ABIERTA,['165-70-9657'],"['MNT-01947', 'MNT-10227']"
INC-10204,ROTURA,2024-05-26T00:00:00Z,CERRADA,['857-60-8494'],['MNT-14616']
INC-10205,MAL FUNCIONAMIENTO,2023-12-12T00:00:00Z,ABIERTA,['671-47-5284'],['MNT-09063']
INC-10206,DESGASTE,2024-05-21T00:00:00Z,CERRADA,['484-87-2579'],['MNT-02771']
INC-10207,MAL FUNCIONAMIENTO,2024-03-17T00:00:00Z,ABIERTA,['357-06-8956'],"['MNT-03202', 'MNT-10199']"
INC-10208,ROTURA,2024-06-22T00:00:00Z,ABIERTA,['528-76-2216'],['MNT-02177']
INC-10209,ROTURA,2024-02-20T00:00:00Z,CERRADA,['458-12-6965'],['MNT-04375']
INC-1021,ROTURA,2024-07-01T00:00:00Z,CERRADA,['282-18-7775'],['MNT-03537']
INC-10210,MAL FUNCIONAMIENTO,2024-11-09T00:00:00Z,CERRADA,['772-97-0003'],['MNT-09663']
