ID,TIPO_INCIDENCIA,FECHA_REPORTE,ESTADO,UsuarioID,MantenimeintoID
29,Vandalismo,19-08-2024,Abierta,"['508-98-5154', '378-11-4367', '378-11-4367']",['MNT-13953']
30,Vandalismo,2024/04/18,Cerrada,['972-87-4607'],['MNT-14904']
31,Desgaste,09-30-2024,Cerrada,"['223-42-0669', '449-74-0186', '398-59-2924']",['MNT-06337']
32,Desgaste,30-04-2024,Abierta,"['801-97-2555', '093-35-3953', '708-79-2896']","['MNT-09082', 'MNT-11531']"
33,Mal funcionamiento,03-02-2024,Abierta,"['593-44-5401', '398-08-9022']",['MNT-04581']
34,Mal funcionamiento,2024/03/19,Cerrada,"['911-89-5856', '280-56-6309']",['MNT-14143']
35,Vandalismo,13-06-2024,Cerrada,['395-06-9681'],"['MNT-00559', 'MNT-05565']"
36,Rotura,05/06/2024,Abierta,['797-83-0198'],['MNT-13540']
37,Desgaste,2024/03/27,Cerrada,['268-12-9651'],"['MNT-02841', 'MNT-08770']"
38,Vandalismo,2024/08/28,Cerrada,"['506-12-3016', '724-54-6205']",['MNT-09589']
39,Rotura,30/05/2024,Abierta,"['148-81-7465', '892-51-8894', '277-22-2474']","['MNT-04881', 'MNT-10453']"
40,Vandalismo,02-03-2024,Abierta,['277-13-4981'],['MNT-04290']
41,Mal funcionamiento,2024-02-07,Cerrada,['896-45-6813'],['MNT-08378']
42,Rotura,2024/04/28,Cerrada,"['733-04-2086', '735-30-7385', '003-12-7817']",['MNT-12228']
43,Mal funcionamiento,08-26-2024,Cerrada,"['176-49-6345', '271-42-0156', '199-53-0558']",['MNT-13503']
44,Vandalismo,18/06/2024,Cerrada,['351-49-6681'],['MNT-07333']
45,Desgaste,2024/09/19,Abierta,['461-89-3669'],['MNT-14756']
46,Vandalismo,2024/02/11,Cerrada,"['888-99-5847', '193-18-4017', '053-99-8190']",['MNT-00842']
47,Rotura,2024/04/14,Cerrada,"['632-00-3897', '459-73-0908', '668-32-8793']",['MNT-01462']
48,Rotura,10-10-2024,Abierta,"['596-19-1998', '286-98-4422', '041-15-2415']","['MNT-02297', 'MNT-02494']"
49,Rotura,08/10/2024,Cerrada,"['689-32-4439', '873-27-3314', '913-85-6147']",['MNT-02179']
50,Rotura,01-27-2024,Abierta,['863-33-3766'],['MNT-07750']
51,Vandalismo,2024-06-14,Abierta,['869-34-7706'],['MNT-01438']
52,Mal funcionamiento,14-09-2024,Cerrada,"['142-30-5668', '955-90-1850']",['MNT-08133']
53,Rotura,07-02-2024,Abierta,['738-70-3572'],['MNT-08945']
54,Desgaste,2024/09/15,Cerrada,"['014-33-4371', '508-48-3418', '387-76-2628']",['MNT-14807']
55,Vandalismo,06-10-2024,Abierta,"['541-92-0256', '856-89-1964', '016-30-7094']",['MNT-11370']
56,Mal funcionamiento,13/12/2023,Cerrada,"['117-80-0652', '060-21-9395', '089-59-2419']","['MNT-12152', 'MNT-12720']"
57,Vandalismo,2024-08-29,Abierta,['172-97-8724'],['MNT-13468']
58,Vandalismo,2024/09/03,Cerrada,"['871-28-1730', '541-59-4325', '471-54-1054']",['MNT-00587']
59,Vandalismo,2024-08-26,Cerrada,"['690-16-4774', '418-44-8103']",['MNT-01539']
60,Rotura,03-08-2024,Cerrada,"['250-40-0290', '782-70-6692', '401-29-1803']","['MNT-01989', 'MNT-08098']"
61,Desgaste,2024/03/22,Abierta,"['100-01-0264', '410-33-9822']",['MNT-09734']
62,Mal funcionamiento,23-08-2024,Cerrada,['322-98-2998'],['MNT-02632']
63,Desgaste,07-03-2024,Abierta,"['479-94-4802', '032-03-7429']",['MNT-03607']
64,Rotura,2024/03/08,Abierta,['901-73-6249'],['MNT-07756']
65,Desgaste,26-01-2024,Cerrada,['241-48-9310'],['MNT-09794']
66,Mal funcionamiento,11/10/2024,Cerrada,"['808-83-2834', '555-94-9326', '711-02-3044']",['MNT-08081']
67,Rotura,01-16-2024,Cerrada,"['090-73-5016', '018-48-4998', '236-66-5410']","['MNT-07601', 'MNT-11223']"
68,Rotura,2024/09/29,Cerrada,"['889-06-0212', '223-67-7660']","['MNT-02315', 'MNT-12518']"
69,Desgaste,28-09-2024,Cerrada,"['597-83-3782', '438-90-8611', '310-67-5019']",['MNT-03205']
70,Vandalismo,2024/02/03,Cerrada,"['288-08-3515', '901-67-6635']",['MNT-11544']
71,Vandalismo,16/03/2024,Cerrada,"['778-65-5960', '282-19-2052']",['MNT-04456']
72,Vandalismo,05/10/2024,Cerrada,['460-57-1099'],['MNT-12063']
73,Desgaste,07/06/2024,Abierta,"['305-88-3625', '753-54-9380', '738-87-3253']",['MNT-03462']
74,Desgaste,14-02-2024,Cerrada,"['154-86-3026', '138-40-0694', '032-33-8307']",['MNT-01352']
75,Desgaste,11-16-2023,Cerrada,"['733-85-7189', '603-85-7965']",['MNT-10547']
76,Mal funcionamiento,2024/07/05,Cerrada,"['260-90-2212', '841-37-3199', '628-45-2561']",['MNT-06303']
77,Desgaste,20-03-2024,Cerrada,"['311-23-9012', '542-71-1216']",['MNT-13487']
78,Rotura,2024/09/30,Abierta,['085-97-4774'],['MNT-02057']
79,Mal funcionamiento,07/05/2024,Cerrada,"['127-70-7755', '837-71-6783']",['MNT-14167']
80,Mal funcionamiento,11-25-2023,Abierta,['894-46-2114'],"['MNT-04031', 'MNT-12053']"
81,Rotura,06-10-2024,Cerrada,"['391-88-3157', '380-75-1092']","['MNT-02899', 'MNT-08710']"
82,Desgaste,11/04/2024,Cerrada,"['838-96-5164', '818-45-3964']",['MNT-01741']
83,Vandalismo,27-04-2024,Cerrada,"['575-21-6618', '260-56-5535']","['MNT-02507', 'MNT-05962']"
84,Desgaste,2024/01/03,Abierta,"['824-77-2616', '158-28-9848', '514-82-8382']",['MNT-11189']
85,Vandalismo,16-12-2023,Cerrada,['099-35-1380'],['MNT-06988']
86,Vandalismo,17-09-2024,Abierta,"['217-98-1971', '937-20-7275']",['MNT-11802']
87,Rotura,2024-03-23,Cerrada,"['788-21-2876', '946-79-0736']","['MNT-03508', 'MNT-08892', 'MNT-12574']"
88,Mal funcionamiento,2024/04/02,Abierta,"['675-54-6552', '409-86-2303']",['MNT-01330']
89,Mal funcionamiento,18-05-2024,Cerrada,"['817-34-2428', '554-49-0304', '218-00-4040']",['MNT-04249']
90,Desgaste,14-01-2024,Abierta,"['174-43-1815', '019-00-6767']",['MNT-10012']
91,Mal funcionamiento,2024-02-13,Cerrada,"['148-66-5370', '430-05-1686']",['MNT-12883']
92,Desgaste,2024/01/09,Cerrada,"['865-70-1340', '760-66-5305', '798-74-5409']",['MNT-01855']
93,Desgaste,2023-11-27,Cerrada,"['017-43-7295', '357-05-1407']",['MNT-01845']
94,Vandalismo,2024-05-09,Cerrada,['436-60-7701'],['MNT-01454']
95,Mal funcionamiento,2023/11/20,Abierta,['982-27-6070'],"['MNT-02112', 'MNT-11757']"
96,Mal funcionamiento,15/10/2023,Cerrada,"['903-89-7000', '729-25-9421', '167-74-2219']","['MNT-01003', 'MNT-09563']"
97,Desgaste,2024-05-29,Abierta,"['741-25-9934', '927-72-9530']",['MNT-09212']
98,Desgaste,07-01-2024,Cerrada,"['433-38-2732', '243-26-3469']",['MNT-02609']
99,Desgaste,2023-11-14,Abierta,"['775-68-8525', '081-60-4000', '398-68-3882']","['MNT-01240', 'MNT-04435', 'MNT-12761']"
100,Vandalismo,19-05-2024,Cerrada,['770-24-2945'],['MNT-06864']
101,Mal funcionamiento,03-10-2024,Cerrada,"['336-56-1396', '806-70-9754', '180-58-7713']",['MNT-01560']
102,Desgaste,22-08-2024,Abierta,"['110-54-2966', '743-88-8084']",['MNT-09012']
103,Desgaste,11/07/2024,Cerrada,"['220-90-9225', '628-73-9187']","['MNT-01269', 'MNT-10379']"
104,Mal funcionamiento,2023/11/02,Cerrada,['546-06-9283'],['MNT-05666']
105,Rotura,06/12/2023,Cerrada,"['753-87-8349', '831-23-8385']","['MNT-07976', 'MNT-14313']"
106,Vandalismo,12-23-2023,Cerrada,['358-75-9776'],"['MNT-04356', 'MNT-11765']"
107,Rotura,2023-10-21,Cerrada,['813-16-4973'],['MNT-11043']
108,Desgaste,19/05/2024,Abierta,['888-02-5417'],['MNT-12162']
109,Rotura,2023/12/27,Cerrada,"['402-42-7281', '406-56-3619', '660-91-9231']",['MNT-05315']
110,Mal funcionamiento,09-11-2023,Abierta,"['915-79-7888', '804-50-1687']","['MNT-07092', 'MNT-11539']"
111,Vandalismo,2024/08/24,Cerrada,['670-05-9074'],"['MNT-11234', 'MNT-12677']"
112,Mal funcionamiento,10-23-2023,Cerrada,"['847-44-2878', '440-29-6963', '107-46-8349']","['MNT-01219', 'MNT-09711', 'MNT-14285']"
113,Vandalismo,06-11-2024,Cerrada,"['422-00-3504', '151-14-3672']","['MNT-05530', 'MNT-11294']"
114,Mal funcionamiento,20-04-2024,Cerrada,['944-32-3034'],['MNT-04534']
115,Mal funcionamiento,06/06/2024,Abierta,['692-64-7625'],"['MNT-11825', 'MNT-13298']"
116,Rotura,2024/01/04,Cerrada,"['199-55-3678', '999-56-4531', '559-08-6664']",['MNT-13341']
117,Vandalismo,10/01/2024,Cerrada,"['239-90-7990', '925-93-2493', '038-88-0793']",['MNT-01005']
118,Rotura,2024/05/09,Abierta,"['488-36-2592', '755-98-6242']","['MNT-01394', 'MNT-08723']"
119,Vandalismo,26/06/2024,Abierta,"['314-20-5792', '008-09-7815']",['MNT-14814']
120,Desgaste,07-03-2024,Cerrada,"['721-47-7070', '761-76-9648']",['MNT-13667']
121,Vandalismo,2024/08/22,Cerrada,"['531-32-3397', '378-21-9839', '066-94-8131']","['MNT-02159', 'MNT-04757']"
122,Mal funcionamiento,2024-07-01,Cerrada,"['021-72-0249', '106-83-9545', '932-16-5096']",['MNT-05358']
123,Mal funcionamiento,2023/11/03,Cerrada,['380-33-3475'],"['MNT-03608', 'MNT-06350']"
124,Mal funcionamiento,29/02/2024,Abierta,['229-67-5850'],['MNT-12976']
125,Rotura,2024-10-08,Abierta,"['509-39-6212', '706-89-6262']",['MNT-02417']
126,Vandalismo,06-26-2024,Abierta,['999-31-9294'],['MNT-10980']
127,Rotura,2024/01/03,Abierta,['762-87-6031'],"['MNT-00893', 'MNT-12391', 'MNT-13550']"
128,Rotura,2024-02-21,Abierta,['291-81-9863'],['MNT-00089']
129,Rotura,06/07/2024,Abierta,"['060-83-4978', '088-72-6336', '805-52-9768']","['MNT-00319', 'MNT-05790']"
130,Mal funcionamiento,2023-12-03,Abierta,"['103-58-3873', '788-66-1589', '559-53-7633']","['MNT-00234', 'MNT-04043']"
131,Vandalismo,2024-06-30,Cerrada,"['426-59-0592', '132-74-6029', '008-44-5781']","['MNT-10776', 'MNT-12743']"
132,Rotura,2024-03-09,Cerrada,['342-05-0813'],['MNT-06748']
133,Vandalismo,04-14-2024,Abierta,['744-40-7622'],['MNT-09083']
134,Vandalismo,12/04/2024,Abierta,['768-48-1875'],['MNT-08942']
135,Vandalismo,2024-06-24,Cerrada,['907-91-3349'],['MNT-12962']
136,Mal funcionamiento,04-17-2024,Abierta,"['857-73-1221', '854-06-8449', '114-82-0887']",['MNT-13527']
137,Desgaste,2024-08-24,Cerrada,"['498-20-3589', '750-10-2047', '226-27-5299']","['MNT-09104', 'MNT-12773']"
138,Desgaste,01-19-2024,Cerrada,"['516-01-8072', '207-84-0141', '178-68-4628']","['MNT-04286', 'MNT-10327']"
139,Mal funcionamiento,2024-08-14,Cerrada,"['713-15-5817', '445-92-8881', '982-34-7661']",['MNT-11886']
140,Rotura,12/11/2023,Abierta,"['590-05-0409', '141-94-3256', '897-31-3331']",['MNT-03672']
141,Rotura,01/12/2023,Cerrada,"['433-06-8898', '999-56-0502', '235-22-0229']",['MNT-07470']
142,Rotura,08-27-2024,Abierta,"['800-63-9797', '786-16-3738', '179-73-2227']",['MNT-03999']
143,Vandalismo,14/04/2024,Abierta,"['993-26-8588', '021-72-0249']",['MNT-10556']
144,Vandalismo,14-02-2024,Cerrada,"['197-54-6424', '807-82-9494']",['MNT-14212']
145,Mal funcionamiento,14/12/2023,Cerrada,['374-61-4080'],['MNT-12665']
146,Vandalismo,04/02/2024,Abierta,"['852-76-3607', '561-26-7740', '374-49-6742']",['MNT-03462']
147,Rotura,24/05/2024,Cerrada,"['743-88-8084', '925-12-3302', '742-25-8929']","['MNT-02218', 'MNT-13692']"
148,Rotura,07-03-2024,Abierta,"['210-74-6960', '304-23-9582', '354-41-2235']","['MNT-05072', 'MNT-08621']"
149,Desgaste,21/07/2024,Cerrada,"['309-48-5557', '191-66-6006']","['MNT-03627', 'MNT-10050']"
150,Desgaste,07/02/2024,Cerrada,"['442-73-6240', '428-15-6327', '703-36-0172']","['MNT-01348', 'MNT-04293', 'MNT-11069']"
151,Mal funcionamiento,2024/02/27,Cerrada,['933-52-0348'],['MNT-13944']
152,Vandalismo,24/04/2024,Cerrada,['799-14-3002'],"['MNT-02198', 'MNT-11261']"
153,Rotura,2024/01/03,Abierta,['395-25-3102'],['MNT-13983']
154,Rotura,05-06-2024,Cerrada,['865-72-4713'],['MNT-11768']
155,Vandalismo,27/12/2023,Abierta,"['610-07-8246', '739-38-2948']",['MNT-00714']
156,Vandalismo,07-12-2023,Cerrada,"['406-08-6881', '522-29-8564', '419-82-9150']","['MNT-06323', 'MNT-14304']"
157,Rotura,11-27-2023,Abierta,"['265-48-2957', '872-67-3391']","['MNT-00060', 'MNT-01615']"
158,Rotura,2024/02/19,Cerrada,['032-32-5015'],"['MNT-02348', 'MNT-14207']"
159,Rotura,2023/12/12,Abierta,"['205-00-9933', '138-25-4182']",['MNT-00017']
160,Desgaste,15-02-2024,Abierta,"['777-79-8430', '383-80-7670']",['MNT-14613']
161,Vandalismo,17/01/2024,Abierta,"['198-65-0810', '580-02-1574', '470-22-3012']",['MNT-11633']
162,Desgaste,03-07-2024,Cerrada,"['067-58-2956', '171-54-0923', '945-91-5104']","['MNT-01912', 'MNT-12659', 'MNT-13067']"
163,Rotura,30/07/2024,Abierta,"['872-99-7259', '665-47-8041']","['MNT-08033', 'MNT-14540']"
164,Rotura,19-11-2023,Abierta,"['068-68-2427', '696-63-7680']","['MNT-03659', 'MNT-09379']"
165,Rotura,18/05/2024,Cerrada,"['549-28-7148', '715-12-8995', '548-46-9753']",['MNT-03203']
166,Mal funcionamiento,2024/10/04,Abierta,"['760-99-8105', '714-47-8610', '135-40-0780']","['MNT-01821', 'MNT-08955', 'MNT-10302']"
167,Rotura,30-11-2023,Cerrada,['303-99-0679'],['MNT-09101']
168,Vandalismo,2024-02-12,Abierta,['094-28-9871'],['MNT-05716']
169,Desgaste,11/07/2024,Cerrada,"['391-82-5472', '913-45-8490', '003-70-2209']","['MNT-07839', 'MNT-10091']"
170,Desgaste,2023-11-19,Abierta,"['213-99-9087', '179-49-4838']",['MNT-12457']
171,Rotura,2023/11/06,Abierta,"['562-33-7001', '311-30-4865']",['MNT-12488']
172,Vandalismo,20-09-2024,Cerrada,"['186-54-3558', '128-84-7974']",['MNT-06870']
173,Desgaste,09-07-2024,Abierta,"['002-53-4615', '244-04-0014']",['MNT-13396']
174,Vandalismo,12-23-2023,Abierta,"['213-35-6192', '362-20-2362', '698-52-5306']","['MNT-05567', 'MNT-06893']"
175,Rotura,15-09-2024,Cerrada,['463-07-6119'],['MNT-13508']
176,Desgaste,07-03-2024,Abierta,"['465-66-7179', '499-25-5214', '802-02-2509']","['MNT-05197', 'MNT-13163']"
177,Mal funcionamiento,2024-08-01,Cerrada,"['516-93-9492', '465-05-9417']",['MNT-09393']
178,Mal funcionamiento,13/09/2024,Abierta,['280-16-8155'],['MNT-11491']
179,Rotura,2024/03/07,Cerrada,"['397-44-1337', '364-82-2347', '171-50-3237']",['MNT-13741']
180,Rotura,23/07/2024,Cerrada,"['002-07-7437', '408-76-7776']",['MNT-12723']
181,Rotura,04-08-2024,Abierta,"['832-34-4746', '759-45-6594', '236-84-5106']",['MNT-06398']
182,Vandalismo,25-09-2024,Cerrada,"['917-42-2331', '465-09-8156']",['MNT-02666']
183,Desgaste,19/02/2024,Cerrada,['054-11-4063'],['MNT-07836']
184,Mal funcionamiento,2024-05-11,Cerrada,"['862-77-3192', '537-17-5166']",['MNT-06102']
185,Mal funcionamiento,15-11-2023,Cerrada,"['854-62-4392', '426-18-3896']",['MNT-07585']
186,Rotura,30-12-2023,Abierta,"['757-76-2598', '039-22-1924']",['MNT-11854']
187,Vandalismo,25/08/2024,Cerrada,['057-70-0978'],['MNT-07064']
188,Desgaste,13/05/2024,Cerrada,['416-92-4256'],"['MNT-05054', 'MNT-08978']"
189,Vandalismo,12-24-2023,Abierta,"['612-98-3499', '360-52-5410']",['MNT-10821']
190,Mal funcionamiento,2023-12-29,Cerrada,"['990-34-7933', '786-49-5347', '901-30-7322']","['MNT-07252', 'MNT-14114']"
191,Rotura,2024-10-09,Cerrada,['758-71-7752'],"['MNT-02506', 'MNT-08275']"
192,Vandalismo,2024-01-10,Abierta,"['342-07-6171', '804-26-7623', '580-40-7687']","['MNT-05460', 'MNT-07271']"
193,Desgaste,05-27-2024,Abierta,['664-40-9102'],['MNT-12763']
194,Desgaste,29/06/2024,Abierta,"['061-19-0691', '972-81-3786', '664-33-3200']",['MNT-04178']
195,Mal funcionamiento,22/10/2023,Abierta,"['495-29-8363', '174-15-0363', '966-69-8630']","['MNT-11887', 'MNT-12689']"
196,Mal funcionamiento,2023-10-30,Abierta,['909-82-3394'],['MNT-13447']
197,Rotura,2024/07/02,Cerrada,"['532-05-5805', '163-11-1730']",['MNT-02718']
198,Desgaste,2024/03/11,Cerrada,"['007-04-5019', '152-23-7523']","['MNT-05845', 'MNT-13951']"
199,Desgaste,2024/03/21,Cerrada,"['063-58-5461', '217-91-8807']","['MNT-06959', 'MNT-11135']"
200,Mal funcionamiento,02-01-2024,Abierta,"['673-75-8581', '129-74-7536']","['MNT-00997', 'MNT-03861']"
201,Desgaste,2023/10/29,Abierta,['479-87-4882'],"['MNT-08681', 'MNT-12944']"
202,Desgaste,16-04-2024,Abierta,"['690-16-4774', '252-10-7073']","['MNT-06764', 'MNT-09871']"
203,Mal funcionamiento,06-18-2024,Cerrada,"['367-06-8004', '277-94-4280']",['MNT-10765']
204,Desgaste,06-09-2024,Abierta,"['506-71-8929', '250-51-8547', '223-08-2682']",['MNT-07597']
205,Vandalismo,03-17-2024,Cerrada,['734-24-8767'],['MNT-08255']
206,Mal funcionamiento,02-23-2024,Cerrada,['260-85-2212'],['MNT-03972']
207,Vandalismo,06-19-2024,Cerrada,['803-81-3426'],"['MNT-01923', 'MNT-10256']"
208,Mal funcionamiento,2024-04-02,Cerrada,"['440-02-5745', '273-62-7268']",['MNT-07834']
209,Rotura,2024/10/10,Cerrada,"['092-70-0241', '365-96-5751']","['MNT-02095', 'MNT-06413']"
210,Desgaste,01-27-2024,Cerrada,"['328-61-4499', '890-01-1532', '673-84-2527']",['MNT-11741']
211,Mal funcionamiento,01-25-2024,Abierta,"['968-91-5056', '716-83-1508', '599-74-8656']",['MNT-05711']
212,Mal funcionamiento,2024-08-18,Abierta,['227-47-0723'],['MNT-02469']
213,Rotura,10-18-2023,Abierta,"['883-80-3294', '981-24-9643', '583-45-2974']","['MNT-01989', 'MNT-08098']"
214,Rotura,03/10/2024,Abierta,"['474-72-2630', '771-65-8952']",['MNT-10744']
215,Mal funcionamiento,15/12/2023,Abierta,"['459-61-4620', '938-68-2871', '886-72-5197']",['MNT-03502']
216,Vandalismo,2024/09/20,Cerrada,"['179-81-4070', '357-52-5162', '546-47-9408']","['MNT-06097', 'MNT-10096']"
217,Vandalismo,03-30-2024,Cerrada,"['852-71-8158', '255-33-2089']",['MNT-12925']
218,Mal funcionamiento,2023-10-17,Abierta,"['642-31-1706', '964-31-2091', '697-74-4853']",['MNT-12989']
219,Rotura,2024/07/20,Cerrada,"['466-42-2357', '414-12-7610']",['MNT-08837']
220,Desgaste,10-11-2023,Abierta,['502-03-2311'],['MNT-00929']
221,Vandalismo,2023-10-18,Cerrada,['772-34-6496'],"['MNT-05865', 'MNT-08461']"
222,Vandalismo,2024/05/01,Abierta,"['304-20-0421', '208-20-6478']",['MNT-05497']
223,Rotura,04-19-2024,Abierta,['643-11-2165'],['MNT-01883']
224,Mal funcionamiento,08-07-2024,Cerrada,"['272-38-0325', '291-56-2499']",['MNT-00345']
225,Vandalismo,13-10-2024,Abierta,"['834-86-5253', '007-28-9700']","['MNT-03852', 'MNT-04401']"
226,Desgaste,16-06-2024,Abierta,"['128-84-7974', '166-49-5361', '307-08-9395']",['MNT-10303']
227,Rotura,2023-12-14,Cerrada,"['157-20-3561', '185-71-4779', '441-70-8832']","['MNT-02607', 'MNT-10069', 'MNT-14322']"
228,Vandalismo,2023/11/11,Abierta,"['508-02-5955', '308-00-2673']",['MNT-14510']
229,Vandalismo,10-08-2024,Cerrada,['032-05-0417'],['MNT-00615']
230,Desgaste,2023-11-13,Abierta,['560-36-8909'],['MNT-08706']
231,Mal funcionamiento,09-10-2024,Abierta,['357-57-5210'],['MNT-08787']
232,Rotura,2024/05/23,Cerrada,"['517-11-2885', '592-25-2140', '544-00-6244']",['MNT-04298']
233,Desgaste,05/04/2024,Cerrada,['164-70-9305'],['MNT-11228']
234,Mal funcionamiento,04-01-2024,Cerrada,['034-51-8628'],['MNT-10208']
235,Vandalismo,2023/12/29,Abierta,"['545-54-7873', '453-48-9491']",['MNT-05416']
236,Vandalismo,04-09-2024,Cerrada,"['327-17-8193', '766-89-8936']",['MNT-07747']
237,Desgaste,12-28-2023,Abierta,"['374-76-8245', '025-82-8686']","['MNT-05054', 'MNT-08978']"
238,Vandalismo,01-15-2024,Cerrada,"['950-14-6267', '123-28-9053', '798-12-4017']",['MNT-01922']
239,Rotura,09/09/2024,Cerrada,"['741-10-6313', '594-31-9895', '096-76-3481']",['MNT-00971']
240,Desgaste,10-11-2023,Abierta,['581-11-8603'],['MNT-06404']
241,Rotura,02/08/2024,Abierta,"['660-42-3037', '296-93-9791']",['MNT-14825']
242,Vandalismo,2024/07/21,Cerrada,"['548-80-8732', '859-56-6087', '905-57-1750']",['MNT-14769']
243,Mal funcionamiento,28-10-2023,Abierta,['584-81-3709'],['MNT-02388']
244,Desgaste,2024/08/19,Abierta,"['288-09-7245', '978-00-2364']","['MNT-07427', 'MNT-14453']"
245,Vandalismo,07-27-2024,Abierta,['907-22-6752'],['MNT-13104']
246,Mal funcionamiento,31/07/2024,Abierta,['241-80-5078'],['MNT-10638']
247,Mal funcionamiento,2024/05/21,Cerrada,"['704-42-3411', '680-73-1573', '413-51-9652']",['MNT-10645']
248,Vandalismo,2024-07-16,Abierta,"['515-25-4324', '809-05-9468']",['MNT-01064']
249,Mal funcionamiento,02-08-2024,Cerrada,"['714-59-0710', '466-05-3516']","['MNT-08218', 'MNT-08374']"
250,Rotura,2024/07/22,Cerrada,"['630-97-7517', '328-44-5494']",['MNT-04381']
251,Desgaste,11-17-2023,Abierta,['359-87-4384'],['MNT-07589']
252,Mal funcionamiento,2024-08-15,Cerrada,['552-64-5966'],['MNT-04256']
253,Rotura,20-09-2024,Abierta,"['215-69-4654', '254-87-9195']",['MNT-06076']
254,Rotura,2024-01-14,Cerrada,"['210-74-6960', '308-46-4157', '511-45-5342']",['MNT-14764']
255,Desgaste,20/04/2024,Cerrada,"['082-26-0878', '744-27-5948', '916-97-8886']",['MNT-08194']
256,Vandalismo,06-28-2024,Abierta,"['109-89-0502', '296-43-3824', '949-61-3857']","['MNT-01955', 'MNT-03591', 'MNT-11987']"
257,Vandalismo,15-04-2024,Cerrada,"['834-54-5708', '486-68-9543', '037-38-3608']",['MNT-14660']
258,Mal funcionamiento,03-02-2024,Cerrada,"['845-40-4850', '259-31-6045', '845-40-7598']",['MNT-11312']
259,Vandalismo,2024-05-19,Abierta,['908-00-9229'],['MNT-10556']
260,Vandalismo,06/02/2024,Abierta,"['939-52-3865', '252-66-1363', '899-69-0478']","['MNT-07092', 'MNT-11539']"
261,Vandalismo,01-22-2024,Cerrada,"['666-47-6491', '546-88-7217', '359-91-7006']",['MNT-06394']
262,Vandalismo,04-04-2024,Abierta,['546-46-3686'],['MNT-08775']
263,Desgaste,07-07-2024,Cerrada,['622-69-8849'],['MNT-05304']
264,Rotura,2024/08/05,Cerrada,['516-54-5377'],['MNT-02904']
265,Desgaste,20-04-2024,Cerrada,"['266-62-9254', '020-04-8201', '354-57-4284']","['MNT-01742', 'MNT-14010']"
266,Rotura,01-04-2024,Abierta,['364-09-9042'],['MNT-07555']
267,Mal funcionamiento,07/12/2023,Abierta,['128-94-2803'],['MNT-13141']
268,Desgaste,2024/01/30,Abierta,"['679-27-8776', '593-81-2295', '636-73-2770']",['MNT-06031']
269,Desgaste,30-05-2024,Cerrada,"['317-59-9842', '876-80-0191']",['MNT-06297']
